"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_02_173655_create_categories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_03_194006_create_items_table.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 11, 4, 54
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_04_212311_create_wishes_table.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 4, 40
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_06_191610_create_edithistories_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_07_194550_create_image_test_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_150221_add_category_id_to_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_170451_remove_edited_at_from_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_170609_add_edited_at_to_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_183935_add_edit_type_to_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_190022_add_operation_type_to_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_13_140219_add_action_type_to_edithistories_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_19_183512_create_notifications_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_25_233056_create_inventory_plans_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_25_235007_create_inventory_plan_item_table.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 4, 38
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_155356_remove_item_id_from_inventory_plans_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 11, 5, 37
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_163436_add_status_to_inventory_plans_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_173634_remove_vendor_website_url_from_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_174342_remove_vendor_from_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_174502_add_where_to_buy_to_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_175748_create_locations_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_182206_update_items_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_183035_add_foreign_keys_to_items_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 4, 31
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_191238_set_default_value_for_location_of_use_id_in_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_192051_set_default_value_for_storage_location_id_in_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_092000_remove_product_number_from_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_092801_add_product_number_to_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_093153_remove_manufacturer_from_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_093307_add_manufacturer_to_items_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
